place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
723,603042,"Ocean State Invitational, Ray Treacy Track at Hendricken Field, Providence, RI",USA,09 APR 2021,09 APR 2021,0,,66025,720,66025,https://worldathletics.org/records/competition-performance-rankings/ranking/603042
724,607397,"Maverick Classic, Track & Field Complex, Mankato, MN",USA,07 MAY 2021,07 MAY 2021,0,,66021,721,66021,https://worldathletics.org/records/competition-performance-rankings/ranking/607397
725,607324,"Tokai Friendship Game, Prefectural Stadium, Ise",JPN,17 OCT 2021,17 OCT 2021,0,,66005,722,66005,https://worldathletics.org/records/competition-performance-rankings/ranking/607324
726,607131,"Redhawk Invitational, Miami of Ohio Track, Oxford, OH",USA,24 APR 2021,24 APR 2021,0,,65967,724,65967,https://worldathletics.org/records/competition-performance-rankings/ranking/607131
727,607416,"30th High School Rookie vs. School Championships, Athletics Stadium, Matsue",JPN,09 OCT 2021,10 OCT 2021,0,,65964,725,65964,https://worldathletics.org/records/competition-performance-rankings/ranking/607416
728,602458,"Myrtle Beach Collegiate Challenge, Doug Shaw Memorial Stadium, Myrtle Beach, SC",USA,12 MAR 2021,13 MAR 2021,0,,65963,726,65963,https://worldathletics.org/records/competition-performance-rankings/ranking/602458
728,604511,"Flanders Cup Memorial Léon Buyle, Putbosstadion, Oordegem",BEL,05 JUN 2021,05 JUN 2021,85,318,65878,733,65963,https://worldathletics.org/records/competition-performance-rankings/ranking/604511
730,605592,"NXTCHAMP Invitational, Track and Field Centre Outdoor Track, Toronto",CAN,16 JUL 2021,18 JUL 2021,0,,65946,727,65946,https://worldathletics.org/records/competition-performance-rankings/ranking/605592
731,604579,"Campeonato de Euskadi, Durango",ESP,05 JUN 2021,06 JUN 2021,30,480,65912,730,65942,https://worldathletics.org/records/competition-performance-rankings/ranking/604579
732,605193,"28. midsommar - Charlottenburger Mittsommernacht, Mommsenstadion, Berlin",GER,29 JUN 2021,29 JUN 2021,95,305,65844,735,65939,https://worldathletics.org/records/competition-performance-rankings/ranking/605193
733,602721,"Hurricane Invitational, UMiami Cobb Stadium, Coral Gables, FL",USA,26 MAR 2021,27 MAR 2021,10,637,65926,728,65936,https://worldathletics.org/records/competition-performance-rankings/ranking/602721
734,603266,"Central Missouri Mule Relays, University of Central Missouri, Warrensburg, MO",USA,16 APR 2021,16 APR 2021,0,,65915,729,65915,https://worldathletics.org/records/competition-performance-rankings/ranking/603266
735,603760,"Vernon Kennedy Invite, University of Central Missouri, Warrensburg, MO",USA,01 MAY 2021,01 MAY 2021,5,704,65904,731,65909,https://worldathletics.org/records/competition-performance-rankings/ranking/603760
736,602955,"Big Five Meet, Franklin Field, Philadelphia, PA",USA,03 APR 2021,03 APR 2021,0,,65902,732,65902,https://worldathletics.org/records/competition-performance-rankings/ranking/602955
737,603735,"2. Fly - up and far Meeting, Bezirkssportanlage Hahnstraße, Frankfurt",GER,01 MAY 2021,02 MAY 2021,100,298,65785,742,65885,https://worldathletics.org/records/competition-performance-rankings/ranking/603735
738,608084,"Wingfoot Night of Champions, Marietta HS, Marietta, GA",USA,22 MAY 2021,22 MAY 2021,0,,65857,734,65857,https://worldathletics.org/records/competition-performance-rankings/ranking/608084
739,606045,"2nd Kyushu Kyoritsu University Challenge, Kyushu Kyoritsu University Stadium, Kitakyushu",JPN,18 APR 2021,18 APR 2021,40,439,65805,740,65845,https://worldathletics.org/records/competition-performance-rankings/ranking/606045
740,604713,"Spanish Club Championships, La Nucia",ESP,12 JUN 2021,12 JUN 2021,0,,65842,736,65842,https://worldathletics.org/records/competition-performance-rankings/ranking/604713
741,603816,"Jamaica Qualification Time Trial, GC Foster College, Spanish Town",JAM,08 MAY 2021,08 MAY 2021,415,125,65423,778,65838,https://worldathletics.org/records/competition-performance-rankings/ranking/603816
742,604487,"Memorial Grzegorz Dunecki, Stadion Miejski, Toruń",POL,02 JUN 2021,02 JUN 2021,5,704,65826,738,65831,https://worldathletics.org/records/competition-performance-rankings/ranking/604487
